avg_dist,avg_inc_price,avg_rating_by_driver,avg_rating_of_driver,city_Carthag,city_Harko,fancy_car_user,first_month_cat_more_1_trip,first_month_cat_no_trips,inc_pct,month_5_still_here,phone_iPhone,weekday_pct
4.66,1,5,,1,0,FALSE,0,0,0,0,1,0
4.81,1.06,4.8,4.5,0,1,FALSE,0,1,25,0,1,75
2.21,1.03,4.8,4.8,1,0,FALSE,1,0,5.4,1,1,54.1
6.12,1.17,5,,1,0,FALSE,0,0,33.3,0,0,66.7
10.37,1,5,5,0,0,FALSE,0,0,0,0,1,75
2.42,1,5,5,0,0,TRUE,0,0,0,0,1,100
1.89,1,5,5,0,0,FALSE,0,1,0,1,0,100
4.44,1,5,5,0,1,TRUE,0,1,0,1,1,0
2.61,1.09,4.8,3.9,1,0,TRUE,1,0,10.5,1,1,63.2
4.46,1,5,5,1,0,FALSE,0,1,0,0,1,100
1.02,1,5,5,1,0,FALSE,0,0,0,0,0,100
0,1,3,5,1,0,FALSE,0,0,0,0,1,100
37.11,1,5,5,1,0,FALSE,1,0,0,0,1,0
2.3,1.35,4.9,5,0,1,FALSE,1,0,36,1,1,84
1.45,1,4,5,0,0,FALSE,0,1,0,0,0,0
2.47,1,5,4.8,1,0,FALSE,1,0,0,0,1,100
19.8,1,5,,1,0,FALSE,0,1,0,0,1,100
1.82,1,4,5,0,0,FALSE,0,0,0,0,1,0
10.49,1,5,5,1,0,TRUE,0,1,0,1,0,66.7
3.99,1.5,5,4,1,0,FALSE,0,1,25,0,1,50
17.89,3.5,4,4,0,0,TRUE,0,0,100,0,0,100
4.61,1.11,4.8,4,0,0,TRUE,0,0,18.2,1,1,81.8
2.6,1.03,4.7,4.8,0,1,FALSE,1,0,5.3,1,1,63.2
5.01,1,5,4,1,0,TRUE,0,1,0,1,1,100
2.42,1,4.8,5,0,0,FALSE,1,0,0,0,1,100
3.55,1.17,4.9,4.7,0,1,TRUE,1,0,25,1,1,66.7
3.06,1,4.7,5,0,0,TRUE,1,0,0,1,1,67.6
3.3,1,4.8,5,0,1,FALSE,1,0,0,1,1,42.9
4.67,1,5,5,1,0,TRUE,0,1,0,0,1,0
6.28,1,,5,0,0,FALSE,0,0,0,0,1,0
10.83,1,5,5,1,0,TRUE,1,0,0,1,0,50
1.55,1,4.5,3.7,0,0,FALSE,1,0,0,1,1,55.2
1.13,1,4.4,4,0,0,FALSE,1,0,0,1,0,80
23.34,1,4,1,1,0,TRUE,0,0,0,0,1,0
1.35,1,4,,1,0,TRUE,0,0,0,0,1,100
4.89,1,4.6,4.1,0,0,TRUE,1,0,1.9,1,1,76.9
5.36,1,5,5,1,0,TRUE,1,0,0,0,0,75
4.2,1.02,5,4.3,0,1,FALSE,0,0,10,1,1,90
2.86,1,4.9,4.9,1,0,TRUE,1,0,0,0,0,89.7
8.3,1,5,,1,0,FALSE,0,1,0,1,1,100
6.08,1.17,5,5,1,0,FALSE,0,0,16.7,1,0,33.3
2.15,1,4.9,4.2,0,1,TRUE,1,0,0,1,1,50
6.86,1,4.9,4.4,0,0,TRUE,1,0,0,1,1,50
4.08,1,4.9,3,0,0,TRUE,1,0,0,1,1,63.6
4.99,1,5,5,0,0,FALSE,0,1,0,1,0,0
1.63,1,5,,1,0,FALSE,0,1,0,0,0,0
10.79,1.09,4.9,4.9,0,1,FALSE,1,0,15.9,1,1,50
9.14,1,5,3,1,0,FALSE,0,0,0,0,1,100
3.07,1,5,,1,0,FALSE,0,0,0,0,0,66.7
5.25,1,5,5,1,0,TRUE,1,0,0,1,1,50
3.81,1,5,4.7,0,1,TRUE,0,0,0,1,1,100
2.65,1,5,4.8,1,0,TRUE,0,0,0,1,1,36.4
10.29,1,3.7,5,0,0,FALSE,0,0,0,0,0,33.3
12.32,1.05,4.7,4.4,0,0,FALSE,0,0,9.1,1,0,63.6
1.16,1,4.3,4,1,0,FALSE,0,1,0,0,1,100
0,1,5,5,0,0,FALSE,0,0,0,0,0,100
2.64,1.63,5,2.5,1,0,FALSE,0,0,50,0,1,100
16.85,1,5,5,0,0,TRUE,0,1,0,1,1,85.7
4.14,2.5,5,,1,0,FALSE,0,0,100,0,0,0
2.67,1.06,4.9,4.3,1,0,TRUE,1,0,11.1,1,0,88.9
5.55,1,4.8,4.9,0,0,TRUE,1,0,0,1,1,41.2
1.58,1,5,5,0,1,FALSE,0,1,0,1,1,0
1.78,1,5,5,1,0,TRUE,0,1,0,0,0,33.3
6.1,1,4.8,5,0,0,TRUE,0,1,0,1,1,100
8.14,1.32,4.6,4.4,0,0,TRUE,0,1,20,0,1,90
6.04,1,4.5,5,1,0,FALSE,1,0,0,0,0,100
2.92,1.38,5,4,0,0,TRUE,1,0,50,1,0,0
2.81,1.3,4.3,4.8,1,0,FALSE,0,1,20,0,1,20
2,1,5,5,0,0,FALSE,1,0,0,0,1,0
7.4,1,5,4.5,1,0,TRUE,0,1,0,0,0,0
1.2,1,4,5,1,0,FALSE,0,1,0,0,0,100
2.64,1,5,5,0,1,TRUE,0,1,0,1,1,100
3.33,1.06,4.8,3.8,0,0,TRUE,1,0,25,1,1,37.5
2.88,1,5,5,0,1,FALSE,0,1,0,1,0,100
1.99,1.75,5,,0,0,FALSE,0,0,100,0,1,100
3.22,1,4.5,4.9,0,0,FALSE,1,0,0,1,1,43.8
13.78,1,5,5,0,0,FALSE,0,0,0,0,1,100
8.2,1,5,,1,0,TRUE,0,1,0,1,1,0
10.47,1,4.6,4.4,0,1,TRUE,1,0,0,1,1,45.5
2.27,1,5,5,0,1,TRUE,1,0,0,1,1,16.7
1.68,1.06,4.7,3.8,0,0,FALSE,1,0,8.3,1,0,41.7
3.57,1.1,4.8,4.5,0,1,TRUE,0,0,10,1,1,10
11.63,1,4.8,5,0,1,FALSE,1,0,0,1,1,40
0.95,1,5,5,0,0,TRUE,0,1,0,1,1,100
4.86,1.03,4.7,5,0,1,TRUE,1,0,2.3,1,1,57.5
4.97,1,5,5,0,0,TRUE,0,1,0,0,1,100
5.44,1.09,4.6,3.7,0,0,FALSE,1,0,3.8,1,1,57.7
2.64,1,5,,0,0,FALSE,0,1,0,1,1,100
3.42,1.21,5,4.8,1,0,TRUE,0,1,21.4,1,1,28.6
1.64,1.14,4.8,4.5,0,1,FALSE,1,0,22.9,1,1,62.9
4.43,1.17,4.7,5,0,0,FALSE,0,1,33.3,1,1,66.7
4.01,1,5,5,0,0,TRUE,0,1,0,0,1,0
2.1,1,4.4,4,0,0,TRUE,1,0,0,0,1,50
7.63,1,5,5,0,0,TRUE,1,0,0,0,1,50
1.89,1,4.5,4.5,0,0,FALSE,1,0,0,0,1,0
3.18,1,5,4,0,0,FALSE,0,0,0,0,0,100
3.72,1,5,5,0,0,FALSE,0,0,0,0,0,20
3.8,1,4.7,5,1,0,FALSE,0,1,0,0,1,100
18.03,1,5,5,1,0,FALSE,0,0,0,0,0,0
2.92,1,4.7,5,1,0,TRUE,0,0,0,1,1,30
2.03,1,4.7,4.9,0,1,TRUE,0,1,0,1,1,42.9
12.6,1,5,5,1,0,FALSE,0,0,0,0,1,0
2.86,1,5,5,0,1,TRUE,1,0,0,1,1,42.9
18.57,1,5,5,0,1,TRUE,1,0,0,1,0,100
1.5,1.63,3.5,5,1,0,FALSE,1,0,100,0,1,0
2.36,1,5,,0,0,FALSE,0,0,0,0,0,100
1.73,1,5,5,0,0,FALSE,0,1,0,0,0,100
3.37,1,3.5,5,1,0,FALSE,1,0,0,0,0,100
2.11,1,5,1,0,0,TRUE,0,1,0,0,1,100
5.45,1,5,,1,0,FALSE,0,1,0,1,1,100
2.2,1,5,4,0,0,FALSE,0,0,0,0,1,100
3.88,1,5,5,0,0,FALSE,0,0,0,0,0,50
9.77,1,5,2,1,0,FALSE,0,0,0,0,0,100
1.75,1,5,4.5,1,0,TRUE,1,0,0,0,0,0
3.56,1.25,5,4,0,1,FALSE,0,0,100,0,1,100
20.32,1,5,5,1,0,FALSE,0,1,0,0,0,100
14.37,1,5,5,0,1,FALSE,0,1,0,0,1,75
4.46,1,2,4,1,0,FALSE,0,0,0,0,1,100
12.52,1,5,4,1,0,FALSE,0,0,0,0,1,100
4.2,1.02,4.6,3.9,1,0,FALSE,1,0,3.5,1,1,69
2.74,1,4,3,0,0,TRUE,0,0,0,0,0,0
18.15,1,5,,0,0,TRUE,0,1,0,1,1,100
7.54,1,5,5,0,1,FALSE,0,0,0,0,1,0
10.16,1,5,5,0,0,TRUE,0,1,0,1,1,75
26.9,1,5,,0,0,TRUE,0,0,0,0,0,0
3.15,1.05,3.8,5,0,1,FALSE,0,0,20,1,1,20
4.54,1,5,5,0,0,FALSE,0,0,0,0,1,0
0,1,5,,0,0,FALSE,0,0,0,0,0,100
8.91,1,5,5,0,0,TRUE,1,0,0,1,1,33.3
10.37,1.25,4,4,0,0,FALSE,0,1,50,0,0,75
1.34,1,5,,0,0,FALSE,0,0,0,0,0,100
4.42,1,4.5,4.5,0,0,TRUE,1,0,0,1,1,20
5.99,1,3,5,0,0,FALSE,1,0,0,0,1,100
1.78,1.04,5,5,0,1,TRUE,0,1,14.3,1,1,42.9
1.27,1,5,5,0,0,FALSE,0,0,0,0,1,100
8,1,4.8,4,0,0,TRUE,1,0,0,1,1,62.5
3.75,2.25,5,3.7,0,0,FALSE,0,1,66.7,0,1,33.3
1.38,2,4,5,0,0,FALSE,0,0,50,0,1,0
4.58,1,5,5,0,0,FALSE,0,1,0,0,1,100
2.34,1.02,4.6,4.6,0,0,TRUE,1,0,2.7,1,1,83.8
27.32,1,5,5,0,1,FALSE,0,0,0,1,1,100
2.5,1,4.5,4.6,0,0,FALSE,1,0,0,0,1,57.1
6.87,1.2,5,4.5,0,1,TRUE,1,0,26.1,1,1,52.2
5.28,1,5,5,0,0,FALSE,0,1,0,1,1,66.7
2.09,1,5,5,1,0,TRUE,0,1,0,1,1,100
3.69,1,5,5,0,0,FALSE,0,1,0,1,1,100
2.52,1,5,5,1,0,FALSE,1,0,0,0,0,0
14.93,1,5,,0,0,FALSE,0,0,0,0,1,0
11.78,1,5,5,1,0,FALSE,0,1,0,1,0,100
16.88,1,3,5,0,0,FALSE,0,1,0,0,1,100
2.34,1,5,5,0,1,FALSE,0,1,0,1,1,0
0.89,1,3,5,0,0,FALSE,0,1,0,0,1,100
3.07,1,5,5,0,0,FALSE,0,0,0,0,0,0
3.81,1.04,4.9,4.3,1,0,FALSE,1,0,7.1,1,1,57.1
19.77,1,4,,0,0,TRUE,0,0,0,0,1,100
2.7,1.5,4.5,4.5,0,1,FALSE,0,1,50,1,0,50
2.66,1,4.3,4.7,0,0,TRUE,1,0,0,1,1,72.2
2.6,1.75,5,5,0,0,FALSE,0,0,100,0,0,0
12.21,1,5,,0,1,TRUE,0,1,0,1,0,100
2.34,1.04,4.8,4.9,0,0,FALSE,1,0,7.7,1,1,0
10.61,1.13,5,4.3,0,0,TRUE,0,0,25,0,0,25
7.89,1,5,,0,1,FALSE,0,1,0,0,1,0
5.31,1,5,,1,0,FALSE,1,0,0,0,1,100
1.69,1,5,4.6,0,0,FALSE,0,1,0,1,0,40
5.04,1,4.9,4.8,1,0,TRUE,1,0,0,1,1,39.1
6.8,1,5,5,0,1,FALSE,0,1,0,1,1,100
17.87,1,5,5,0,0,TRUE,0,1,0,1,1,100
24.43,1,5,5,1,0,TRUE,0,0,0,0,0,0
2.69,1.04,4.7,5,0,1,FALSE,1,0,4.9,1,1,46.3
18.61,1,2,1,0,0,TRUE,0,0,0,0,1,100
9.31,1,4,,0,0,TRUE,0,0,0,1,1,100
7.17,1,4.3,5,0,0,TRUE,1,0,0,1,1,45.5
12.96,1,5,5,0,0,FALSE,0,1,0,0,0,100
10.68,1,5,,0,0,FALSE,0,1,0,0,1,100
1.62,1,5,4,0,0,TRUE,0,1,0,1,0,42.9
7.6,1,5,4.5,1,0,FALSE,0,0,0,0,1,100
1.53,1.09,4.8,5,0,1,FALSE,1,0,18.2,1,1,45.5
5.72,1,5,,1,0,FALSE,0,0,0,0,0,0
16.19,1,4.3,5,1,0,FALSE,1,0,0,1,1,33.3
3.28,1,5,5,1,0,FALSE,0,1,0,1,1,100
12.45,1,4.8,,0,1,FALSE,1,0,0,1,0,100
6.46,1,4.9,4.4,1,0,TRUE,1,0,0,1,1,87.5
5.05,1.13,4.3,5,0,0,FALSE,0,1,25,1,1,25
13.83,1.08,4.8,4.5,1,0,TRUE,1,0,16.7,0,1,83.3
3.42,1,5,4,1,0,FALSE,0,0,0,0,0,100
3.04,1.38,5,5,0,0,FALSE,0,1,50,0,1,50
17.04,1,5,,0,0,TRUE,0,1,0,0,1,100
19.07,1,5,4.5,0,0,FALSE,0,0,0,1,1,50
1.13,1,5,5,0,1,FALSE,1,0,0,0,0,100
2.82,1.13,4,,1,0,TRUE,0,0,50,0,0,50
8.09,1,5,5,0,0,FALSE,1,0,0,0,1,100
3.34,1.15,5,,0,1,TRUE,0,0,20,1,1,100
20.03,1,5,,0,1,FALSE,0,1,0,1,0,0
5.38,1,5,,1,0,FALSE,0,0,0,0,1,100
10.73,1,5,5,1,0,FALSE,0,0,0,0,1,0
17.63,1,5,5,0,0,FALSE,0,1,0,0,1,100
6.2,1,3,3,0,0,TRUE,0,0,0,0,0,100
4.56,1,4.9,2.7,1,0,TRUE,0,1,0,0,1,45.5
2.99,1,4.3,4.2,0,0,TRUE,1,0,0,1,1,45.5
3.56,1,5,5,0,0,FALSE,1,0,0,1,1,87.5
1.59,1,5,5,0,0,TRUE,0,1,0,1,1,100
0.68,1,5,4,0,0,FALSE,1,0,0,0,1,100
9.15,1,5,4.3,0,1,TRUE,1,0,0,0,0,66.7
5.76,1,5,4.5,1,0,FALSE,1,0,0,0,1,44.4
3.19,1,4.7,4.6,0,0,TRUE,1,0,0,1,1,55.6
0.7,1,4.7,4,0,0,TRUE,1,0,0,0,0,100
7.69,1.25,5,5,0,0,FALSE,0,1,25,0,1,0
1.86,1,4.5,5,0,0,TRUE,0,1,0,1,1,37.5
5.82,1,5,5,1,0,TRUE,0,1,0,0,1,100
3.84,1.09,5,5,0,1,FALSE,1,0,12.5,1,1,50
2.32,1,5,,1,0,TRUE,0,0,0,0,0,100
2.37,1,5,,0,1,TRUE,0,1,0,1,1,0
1.17,1,5,5,0,0,FALSE,0,0,0,0,1,100
6,4,,2,1,0,FALSE,0,0,100,0,1,0
4.14,1.1,5,4.6,0,0,TRUE,1,0,15.4,0,0,69.2
3.23,1,5,5,1,0,TRUE,0,1,0,0,0,100
1.82,1,,,0,0,FALSE,0,0,0,0,1,0
3.29,1,4.8,5,1,0,FALSE,0,1,0,1,1,0
13.12,1,5,,0,0,FALSE,0,0,0,0,1,0
2.51,1.21,4.3,4.5,0,1,TRUE,1,0,42.9,1,1,14.3
0.63,1,5,,1,0,TRUE,0,1,0,0,1,100
1.83,1.19,5,3.8,0,1,FALSE,1,0,17.6,0,1,76.5
1.88,1.08,5,4.8,1,0,FALSE,1,0,16.7,0,1,33.3
3.34,1.13,4.5,4,1,0,FALSE,1,0,25,0,1,25
7.81,1.12,4.8,4.9,1,0,TRUE,0,0,14.8,1,1,44.4
3.57,1,5,,1,0,FALSE,0,1,0,0,1,0
1.34,1,5,,0,0,TRUE,0,1,0,0,0,100
3.3,1,4.7,3.7,1,0,TRUE,1,0,0,1,1,78.6
6.71,1,5,,1,0,FALSE,0,1,0,0,0,0
2.41,1.22,4.9,4.9,1,0,FALSE,1,0,27.3,1,1,63.6
8.08,1,5,5,1,0,FALSE,0,0,0,0,1,100
2.43,1.29,5,4.2,0,1,FALSE,0,1,14.3,1,1,71.4
0.59,1,5,5,1,0,TRUE,0,1,0,0,1,100
14.51,1,5,,0,0,TRUE,0,0,0,0,1,0
5.21,1,5,5,0,1,TRUE,0,0,0,0,0,0
2.96,1,5,5,0,0,FALSE,1,0,0,1,1,33.3
5.93,1,5,5,0,1,FALSE,0,0,0,1,1,100
10.43,1.25,5,5,1,0,FALSE,0,0,100,0,0,100
1.85,1,4.6,5,0,0,FALSE,1,0,0,1,0,88.3
3.03,1.23,4.6,5,0,0,TRUE,1,0,20.9,1,1,56.7
4.65,1,5,5,0,0,FALSE,0,1,0,1,1,33.3
2.82,1,4.8,4.3,0,0,FALSE,1,0,0,0,0,66.7
2.05,1,4.7,5,0,0,FALSE,0,1,0,0,1,33.3
19.81,2,5,5,0,0,TRUE,0,1,50,0,0,100
7.5,1.01,4.8,4,0,1,TRUE,1,0,1.7,1,1,70.9
1.64,1,5,5,0,1,TRUE,0,0,0,0,0,0
3.18,1,4.9,4.6,0,0,TRUE,1,0,0,1,1,57.1
4.56,1,4.5,2,0,0,FALSE,0,0,0,1,1,50
8.07,1,3,,0,1,FALSE,0,1,0,1,1,100
1.84,1,5,4,0,0,TRUE,1,0,0,0,1,0
4.07,1,2.5,5,0,0,FALSE,0,0,0,0,0,100
2.48,1.06,4.9,4.8,0,1,TRUE,1,0,11.7,1,0,60
2.34,1,4.9,4.9,0,1,TRUE,0,1,0,1,0,23.1
1.89,1,4.6,4.8,0,0,TRUE,1,0,0,0,1,100
11.86,1,4,,0,0,FALSE,0,1,0,1,1,0
3.83,1.04,5,5,1,0,FALSE,1,0,16.7,0,0,66.7
14.59,1,5,5,1,0,FALSE,0,0,0,0,1,0
1.43,1,5,5,0,1,FALSE,0,1,0,1,0,100
6.46,1,5,5,0,1,FALSE,0,0,0,1,1,33.3
31.01,1,5,5,1,0,FALSE,0,0,0,0,0,100
5.21,1,5,5,1,0,FALSE,1,0,0,0,1,100
14.79,1,5,5,1,0,FALSE,0,1,0,0,0,100
3.84,1,4.9,4.5,1,0,FALSE,1,0,0,1,0,50
7.34,1,5,3.3,1,0,FALSE,0,1,0,0,1,25
3.13,1,5,4.3,0,0,TRUE,0,1,0,0,1,100
1.58,1,5,,0,0,FALSE,0,0,0,0,1,50
4.42,1,5,5,0,0,FALSE,0,0,0,0,1,0
5.73,1,5,4.8,0,1,FALSE,0,0,0,1,1,60
7.85,1,5,,1,0,FALSE,0,1,0,0,0,100
2.88,1.03,4.9,4.9,0,1,FALSE,1,0,13,1,1,65.2
6.75,1,5,5,1,0,TRUE,0,0,0,0,1,0
6.25,1,5,5,1,0,TRUE,0,0,0,0,1,0
2.51,1.05,4.9,4.5,0,1,TRUE,1,0,8.6,1,1,93.1
5.54,1,5,,1,0,TRUE,0,0,0,0,1,0
10.1,1,5,5,1,0,TRUE,1,0,0,0,0,50
7.04,1.13,5,4,0,0,FALSE,0,0,25,1,1,100
3.23,1,5,5,0,1,TRUE,0,1,0,1,0,40
3.95,1,5,5,1,0,FALSE,0,0,0,1,1,100
2.48,1.1,4.8,4.9,0,1,TRUE,1,0,8.6,1,1,62.9
1.76,1.1,4.8,3.7,0,0,TRUE,1,0,8.3,1,1,66.7
2.41,1,5,5,1,0,TRUE,0,0,0,0,1,50
1.37,1,5,5,0,0,FALSE,0,0,0,0,0,100
1.55,1,5,3,1,0,TRUE,0,0,0,1,1,25
2.56,1,5,,0,0,FALSE,0,0,0,0,1,0
1.64,1.02,4.9,5,0,1,TRUE,1,0,9.1,1,1,81.8
4.95,1,4.7,5,1,0,FALSE,0,1,0,0,1,100
4.63,1,5,3.5,0,0,FALSE,1,0,0,0,0,0
18.86,1,5,5,0,0,FALSE,0,1,0,0,1,100
6.03,1,5,3.3,0,0,TRUE,0,0,0,1,0,33.3
2,1,4.8,5,0,1,FALSE,1,0,0,1,1,64
0.84,1,5,4.7,1,0,FALSE,1,0,0,0,0,50
7.09,1,5,4,1,0,TRUE,1,0,0,0,1,0
1.73,1,5,,0,0,FALSE,0,0,0,0,0,0
2.85,2,5,5,0,0,FALSE,0,1,100,1,0,0
1.22,1.25,5,,0,1,FALSE,0,1,50,1,0,0
0,1,5,4,0,0,FALSE,0,0,0,0,0,100
3.96,1,4.7,4.6,1,0,TRUE,0,0,0,1,1,85.7
1.71,1.03,4.8,5,1,0,TRUE,0,1,12.5,1,1,62.5
8.17,1,4.8,3.8,0,0,FALSE,0,0,0,1,0,80
5.55,1.33,5,5,0,1,TRUE,0,1,33.3,0,1,33.3
3.29,1,4.8,5,1,0,FALSE,0,0,0,1,0,50
8.11,1,5,,1,0,TRUE,0,0,0,0,1,0
5.96,1,4.8,4.9,0,0,FALSE,0,1,0,1,1,75
6.79,1,5,5,0,1,FALSE,0,0,0,0,1,0
2.05,1,5,4.9,0,0,FALSE,0,1,0,1,1,28.6
4.11,1.02,4.9,4.9,1,0,FALSE,1,0,10,1,1,50
6.07,1.08,4.7,4.8,0,1,TRUE,1,0,11.1,0,0,88.9
5.64,1,5,5,0,1,FALSE,0,1,0,0,0,100
4.69,1,5,5,1,0,FALSE,0,0,0,1,1,100
18.29,1,5,,0,0,TRUE,0,1,0,0,0,100
4.1,1,5,5,0,1,FALSE,1,0,0,0,0,33.3
2.93,1,5,,0,0,FALSE,0,1,0,0,1,0
7.8,1,5,5,1,0,TRUE,0,0,0,0,1,100
2.7,1,5,4,0,0,FALSE,1,0,0,0,0,66.7
2.17,1,4.9,4.8,0,0,FALSE,1,0,0,1,1,61.5
3.12,1,4.9,4.5,0,0,FALSE,1,0,0,0,1,60
5.38,1,4,,0,0,FALSE,0,0,0,0,0,0
8.41,1.09,4.8,4,0,1,TRUE,1,0,9.1,1,1,45.5
6.16,1,5,5,0,0,FALSE,0,0,0,1,1,100
9.5,1,4.7,5,1,0,FALSE,0,1,0,0,0,33.3
1.41,1,5,,0,0,FALSE,0,1,0,0,1,100
14.18,1,5,5,1,0,FALSE,1,0,0,0,0,50
16.88,1,5,,0,1,TRUE,0,1,0,1,0,100
8.53,1.07,5,5,1,0,FALSE,0,1,14.3,1,1,57.1
7.05,1.19,5,5,0,1,FALSE,1,0,25,1,1,12.5
2.67,1,5,4,1,0,FALSE,1,0,0,0,1,66.7
8.44,1,5,5,0,1,FALSE,0,1,0,1,0,100
1.77,1,5,5,0,1,FALSE,0,1,0,1,0,100
3.08,1.02,4.8,4.9,0,1,FALSE,1,0,3,1,0,66.7
3.5,1,4.7,5,0,0,FALSE,0,1,0,1,1,57.1
4.67,1.18,4.2,4.9,0,0,FALSE,1,0,7.1,0,0,7.1
0.79,1,5,4,1,0,TRUE,1,0,0,0,0,100
3.17,1,4.7,4.8,1,0,TRUE,1,0,0,1,0,100
1.42,1,5,5,1,0,TRUE,0,1,0,1,1,100
1.88,1,5,5,0,1,FALSE,1,0,0,0,1,100
6.28,1,4.9,4.7,1,0,TRUE,1,0,0,1,1,79.2
4.29,1,5,5,1,0,TRUE,0,0,0,0,1,0
8.88,1,4.7,3.5,0,0,TRUE,0,0,0,0,0,66.7
5.33,1,4.7,4.5,0,0,FALSE,1,0,0,0,0,100
9.2,1,4.8,4.6,1,0,TRUE,0,1,0,0,1,60
3.99,1.06,4.9,4.4,1,0,FALSE,0,1,11.1,1,1,66.7
14.26,1,5,,0,1,TRUE,0,1,0,1,1,100
2.76,1.04,4.7,4.8,0,0,FALSE,1,0,6.5,1,1,54.8
4.62,1,4.7,4,0,0,TRUE,1,0,0,1,1,50
3.66,1.1,4.8,5,1,0,FALSE,1,0,40,0,0,40
5.77,1.07,4.9,4.7,0,1,TRUE,1,0,15.4,1,1,76.9
4.05,1.35,5,5,0,0,FALSE,1,0,20,1,1,80
1.51,1,4.7,4.4,0,0,FALSE,1,0,0,1,1,31
1.88,1,5,5,0,1,FALSE,0,1,0,1,1,33.3
1.43,1,4.3,4.5,0,0,FALSE,1,0,0,1,1,92.9
1.91,1.3,4.9,5,0,0,TRUE,1,0,21.1,1,1,56.1
